C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00003      0.00000      0.00000	  0.00001      0.00000      0.00000
         2      0.00062      0.00002      0.00000	  0.00020      0.00001      0.00000
         3      0.00292      0.00099      0.00000	  0.00103      0.00039      0.00000
         4      0.00812      0.00439      0.00000	  0.00300      0.00177      0.00000
         5      0.01689      0.01126      0.00000	  0.00637      0.00453      0.00000
         6      0.02927      0.02181      0.00000	  0.01104      0.00866      0.00000
         7      0.04507      0.03587      0.00000	  0.01688      0.01398      0.00000
         8      0.06396      0.05317      0.00000	  0.02377      0.02040      0.00000
         9      0.08557      0.07337      0.00000	  0.03167      0.02783      0.00000
        10      0.10957      0.09608      0.00000	  0.04054      0.03625      0.00000
        11      0.13562      0.12096      0.00000	  0.05037      0.04563      0.00000
        12      0.16345      0.14771      0.00000	  0.06116      0.05597      0.00000
        13      0.19278      0.17609      0.00000	  0.07290      0.06726      0.00000
        14      0.22233      0.20589      0.00000	  0.08515      0.07950      0.00000
        15      0.25036      0.23681      0.00000	  0.09742      0.09265      0.00000
        16      0.27628      0.26485      0.00000	  0.10967      0.10537      0.00000
        17      0.30002      0.28984      0.00000	  0.12218      0.11794      0.00000
        18      0.32168      0.31242      0.00000	  0.13512      0.13084      0.00000
        19      0.34136      0.33283      0.00000	  0.14852      0.14416      0.00000
        20      0.35916      0.35123      0.00000	  0.16233      0.15788      0.00000
        21      0.37526      0.36784      0.00000	  0.17647      0.17196      0.00000
        22      0.38980      0.38284      0.00000	  0.19087      0.18631      0.00000
        23      0.40289      0.39630      0.00000	  0.20543      0.20083      0.00000
        24      0.41471      0.40847      0.00000	  0.22010      0.21547      0.00000
        25      0.42536      0.41943      0.00000	  0.23480      0.23015      0.00000
        26      0.43494      0.42927      0.00000	  0.24948      0.24482      0.00000
        27      0.44360      0.43818      0.00000	  0.26409      0.25944      0.00000
        28      0.45143      0.44624      0.00000	  0.27861      0.27395      0.00000
        29      0.45849      0.45350      0.00000	  0.29297      0.28833      0.00000
        30      0.46487      0.46006      0.00000	  0.30717      0.30254      0.00000
        31      0.47067      0.46603      0.00000	  0.32118      0.31658      0.00000
        32      0.47597      0.47149      0.00000	  0.33501      0.33043      0.00000
        33      0.48068      0.47634      0.00000	  0.34857      0.34402      0.00000
        34      0.48500      0.48080      0.00000	  0.36192      0.35740      0.00000
        35      0.48893      0.48485      0.00000	  0.37504      0.37055      0.00000
        36      0.49253      0.48857      0.00000	  0.38792      0.38346      0.00000
        37      0.49581      0.49196      0.00000	  0.40056      0.39614      0.00000
        38      0.49881      0.49506      0.00000	  0.41293      0.40855      0.00000
        39      0.50153      0.49787      0.00000	  0.42506      0.42072      0.00000
        40      0.50403      0.50047      0.00000	  0.43695      0.43264      0.00000
        41      0.50635      0.50288      0.00000	  0.44861      0.44434      0.00000
        42      0.50848      0.50509      0.00000	  0.46003      0.45579      0.00000
        43      0.51041      0.50709      0.00018	  0.47118      0.46699      0.00020
        44      0.51222      0.50898      0.00066	  0.48212      0.47797      0.00070
        45      0.51381      0.51064      0.00149	  0.49278      0.48867      0.00158
        46      0.51535      0.51224      0.00274	  0.50326      0.49919      0.00287
        47      0.51674      0.51370      0.00445	  0.51350      0.50947      0.00460
        48      0.51808      0.51510      0.00662	  0.52355      0.51956      0.00676
        49      0.51932      0.51640      0.00923	  0.53339      0.52944      0.00934
        50      0.52040      0.51753      0.01229	  0.54297      0.53905      0.01233
        51      0.52145      0.51863      0.01578	  0.55237      0.54850      0.01569
        52      0.52240      0.51963      0.01970	  0.56156      0.55772      0.01945
        53      0.52329      0.52057      0.02403	  0.57056      0.56675      0.02355
        54      0.52412      0.52145      0.02876	  0.57938      0.57561      0.02801
        55      0.52489      0.52227      0.03387	  0.58800      0.58427      0.03280
        56      0.52564      0.52305      0.03936	  0.59646      0.59277      0.03791
        57      0.52631      0.52377      0.04520	  0.60472      0.60107      0.04332
        58      0.52695      0.52445      0.05138	  0.61283      0.60921      0.04903
        59      0.52757      0.52512      0.05787	  0.62079      0.61720      0.05502
        60      0.52812      0.52570      0.06470	  0.62855      0.62500      0.06129
        61      0.52867      0.52628      0.07181	  0.63618      0.63266      0.06783
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      0.52867      0.52628      0.07181	  0.63618      0.63266      0.06783
        63      0.53089      0.52867      0.11163	  0.67204      0.66868      0.10433
        64      0.53256      0.53049      0.14777	  0.70451      0.70131      0.14302
        65      0.53387      0.53193      0.17093	  0.73406      0.73100      0.17889
        66      0.53490      0.53307      0.18926	  0.76099      0.75806      0.21356
        67      0.53570      0.53397      0.20475	  0.78559      0.78279      0.24707
        68      0.53637      0.53473      0.21836	  0.80821      0.80552      0.27938
        69      0.53688      0.53532      0.23049	  0.82896      0.82637      0.31036
        70      0.53731      0.53582      0.24152	  0.84813      0.84564      0.34003
        71      0.53774      0.53632      0.25165	  0.86595      0.86355      0.36838
        72      0.53812      0.53676      0.26104	  0.88252      0.88021      0.39548
        73      0.53838      0.53707      0.26971	  0.89783      0.89559      0.42125
        74      0.53862      0.53737      0.27783	  0.91212      0.90996      0.44584
        75      0.53891      0.53770      0.28547	  0.92558      0.92349      0.46930
        76      0.53909      0.53792      0.29262	  0.93808      0.93606      0.49163
        77      0.53930      0.53818      0.29939	  0.94989      0.94792      0.51294
        78      0.53943      0.53834      0.30576	  0.96089      0.95898      0.53324
        79      0.53959      0.53854      0.31181	  0.97133      0.96947      0.55263
        80      0.53975      0.53874      0.31757	  0.98119      0.97939      0.57117
        81      0.53989      0.53891      0.32301	  0.99048      0.98873      0.58884
        82      0.53999      0.53903      0.32821	  0.99924      0.99754      0.60576
        83      0.54013      0.53920      0.33316	  1.00762      1.00596      0.62196
        84      0.54017      0.53927      0.33784	  1.01541      1.01379      0.63737
        85      0.54036      0.53949      0.34241	  1.02308      1.02150      0.65230
        86      0.54039      0.53954      0.34671	  1.03013      1.02859      0.66651
        87      0.54049      0.53966      0.35083	  1.03694      1.03544      0.68014
        88      0.54055      0.53974      0.35481	  1.04343      1.04196      0.69328
        89      0.54058      0.53979      0.35856	  1.04953      1.04809      0.70579
        90      0.54077      0.54000      0.36228	  1.05565      1.05424      0.71802
        91      0.54072      0.53997      0.36571	  1.06110      1.05973      0.72953
        92      0.54086      0.54012      0.36914	  1.06666      1.06531      0.74084
        93      0.54089      0.54017      0.37237	  1.07179      1.07047      0.75159
        94      0.54099      0.54029      0.37550	  1.07683      1.07554      0.76201
        95      0.54106      0.54037      0.37856	  1.08168      1.08041      0.77214
        96      0.54110      0.54043      0.38145	  1.08624      1.08500      0.78180
        97      0.54113      0.54047      0.38424	  1.09061      1.08940      0.79111
        98      0.54114      0.54049      0.38693	  1.09480      1.09361      0.80012
        99      0.54115      0.54051      0.38953	  1.09883      1.09766      0.80881
C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         2      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         3      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         4      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         5      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         6      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         7      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         8      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         9      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        10      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        11      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        12      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        13      0.00004      0.00000      0.00000	  0.00001      0.00000      0.00000
        14      0.00131      0.00000      0.00000	  0.00049      0.00000      0.00000
        15      0.00548      0.00006      0.00000	  0.00197      0.00002      0.00000
        16      0.01301      0.00446      0.00000	  0.00443      0.00150      0.00000
        17      0.02384      0.01315      0.00000	  0.00756      0.00408      0.00000
        18      0.03772      0.02530      0.00000	  0.01112      0.00723      0.00000
        19      0.05438      0.04054      0.00000	  0.01504      0.01080      0.00000
        20      0.07365      0.05851      0.00000	  0.01936      0.01476      0.00000
        21      0.09524      0.07898      0.00000	  0.02412      0.01915      0.00000
        22      0.11891      0.10163      0.00000	  0.02935      0.02402      0.00000
        23      0.14452      0.12629      0.00000	  0.03514      0.02943      0.00000
        24      0.17179      0.15271      0.00000	  0.04150      0.03542      0.00000
        25      0.20059      0.18069      0.00000	  0.04848      0.04202      0.00000
        26      0.23078      0.21013      0.00000	  0.05611      0.04927      0.00000
        27      0.26213      0.24076      0.00000	  0.06440      0.05718      0.00000
        28      0.29455      0.27251      0.00000	  0.07336      0.06577      0.00000
        29      0.32796      0.30529      0.00000	  0.08303      0.07506      0.00000
        30      0.36222      0.33897      0.00000	  0.09338      0.08505      0.00000
        31      0.39722      0.37341      0.00000	  0.10442      0.09572      0.00000
        32      0.43286      0.40854      0.00000	  0.11612      0.10707      0.00000
        33      0.46922      0.44440      0.00000	  0.12855      0.11914      0.00000
        34      0.50608      0.48077      0.00000	  0.14163      0.13186      0.00000
        35      0.54344      0.51762      0.00000	  0.15536      0.14525      0.00000
        36      0.58120      0.55498      0.00000	  0.16972      0.15927      0.00000
        37      0.61938      0.59272      0.00000	  0.18471      0.17393      0.00000
        38      0.65790      0.63080      0.00000	  0.20032      0.18920      0.00000
        39      0.69678      0.66931      0.00000	  0.21654      0.20510      0.00000
        40      0.73593      0.70800      0.00000	  0.23333      0.22156      0.00000
        41      0.77529      0.74708      0.00000	  0.25067      0.23860      0.00000
        42      0.81494      0.78631      0.00000	  0.26857      0.25618      0.00000
        43      0.85481      0.82588      0.00000	  0.28702      0.27433      0.00000
        44      0.89484      0.86546      0.00000	  0.30596      0.29296      0.00000
        45      0.93514      0.90553      0.00000	  0.32546      0.31217      0.00000
        46      0.97554      0.94554      0.00000	  0.34540      0.33182      0.00000
        47      1.01609      0.98586      0.00000	  0.36583      0.35198      0.00000
        48      1.05674      1.02616      0.00000	  0.38668      0.37255      0.00000
        49      1.09752      1.06665      0.00000	  0.40798      0.39357      0.00000
        50      1.13851      1.10737      0.00000	  0.42977      0.41509      0.00000
        51      1.17954      1.14806      0.00000	  0.45193      0.43699      0.00000
        52      1.22070      1.18899      0.00000	  0.47453      0.45933      0.00000
        53      1.26195      1.22998      0.00000	  0.49752      0.48207      0.00000
        54      1.30329      1.27099      0.00000	  0.52088      0.50517      0.00000
        55      1.34468      1.31215      0.00000	  0.54461      0.52865      0.00000
        56      1.38615      1.35341      0.00000	  0.56869      0.55249      0.00000
        57      1.42769      1.39463      0.00000	  0.59313      0.57667      0.00000
        58      1.46930      1.43594      0.00000	  0.61789      0.60120      0.00000
        59      1.51094      1.47747      0.00000	  0.64296      0.62606      0.00000
        60      1.55266      1.51895      0.00000	  0.66839      0.65125      0.00000
        61      1.59442      1.56042      0.00000	  0.69409      0.67672      0.00000
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      1.59442      1.56042      0.00000	  0.69409      0.67672      0.00000
        63      1.80398      1.76884      0.00000	  0.82697      0.80851      0.00000
        64      2.01450      1.97833      0.01108	  0.96633      0.94686      0.00412
        65      2.22573      2.18867      0.04236	  1.11123      1.09082      0.01727
        66      2.43758      2.39974      0.08416	  1.26103      1.23976      0.03722
        67      2.64996      2.61138      0.13383	  1.41515      1.39307      0.06354
        68      2.86274      2.82320      0.19007	  1.57299      1.55009      0.09601
        69      3.07599      3.03595      0.25210	  1.73426      1.71067      0.13442
        70      3.28953      3.24858      0.31930	  1.89847      1.87413      0.17851
        71      3.50332      3.46204      0.39126	  2.06524      2.04031      0.22802
        72      3.71740      3.67525      0.46759	  2.23438      2.20876      0.28267
        73      3.93182      3.88931      0.54803	  2.40579      2.37963      0.34226
        74      4.14643      4.10334      0.63240	  2.57911      2.55236      0.40651
        75      4.36121      4.31732      0.72036	  2.75408      2.72672      0.47511
        76      4.57627      4.53220      0.81173	  2.93077      2.90296      0.54792
        77      4.79146      4.74690      0.90641	  3.10883      3.08051      0.62464
        78      5.00691      4.96171      1.00422	  3.28835      3.25951      0.70512
        79      5.22249      5.17653      1.10486	  3.46903      3.43966      0.78911
        80      5.43824      5.39230      1.20841	  3.65082      3.62108      0.87642
        81      5.65411      5.60779      1.31455	  3.83367      3.80351      0.96694
        82      5.87017      5.82331      1.42335	  4.01754      3.98692      1.06046
        83      6.08635      6.03887      1.53448	  4.20224      4.17115      1.15682
        84      6.30268      6.25455      1.64801	  4.38791      4.35636      1.25597
        85      6.51902      6.47113      1.76374	  4.57410      4.54233      1.35756
        86      6.73567      6.68748      1.88167	  4.76128      4.72913      1.46171
        87      6.95230      6.90379      2.00150	  4.94903      4.91653      1.56819
        88      7.16910      7.12011      2.12351	  5.13744      5.10454      1.67688
        89      7.38606      7.33650      2.24740	  5.32654      5.29324      1.78779
        90      7.60289      7.55276      2.37311	  5.51587      5.48217      1.90056
        91      7.82007      7.76940      2.50050	  5.70617      5.67208      2.01551
        92      8.03718      7.98689      2.62966	  5.89661      5.86238      2.13209
        93      8.25447      8.20411      2.76045	  6.08772      6.05324      2.25061
        94      8.47180      8.42113      2.89281	  6.27917      6.24439      2.37080
        95      8.68920      8.63821      3.02663	  6.47103      6.43593      2.49252
        96      8.90672      8.85537      3.16188	  6.66339      6.62796      2.61594
        97      9.12431      9.07261      3.29877	  6.85613      6.82041      2.74092
        98      9.34203      9.28984      3.43674	  7.04925      7.01320      2.86729
        99      9.55977      9.50710      3.57628	  7.24273      7.20632      2.99510
C DATA from 25.0GeV to 50.0GeV(1.0GeV step,26bins)	  
       100      9.55977      9.50710      3.57628	  7.24273      7.20632      2.99510
