C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00005      0.00000      0.00000	  0.00001      0.00000      0.00000
         2      0.00088      0.00004      0.00000	  0.00015      0.00001      0.00000
         3      0.00415      0.00146      0.00000	  0.00074      0.00028      0.00000
         4      0.01157      0.00638      0.00000	  0.00216      0.00128      0.00000
         5      0.02413      0.01634      0.00000	  0.00458      0.00326      0.00000
         6      0.04206      0.03175      0.00000	  0.00793      0.00621      0.00000
         7      0.06515      0.05247      0.00000	  0.01213      0.01001      0.00000
         8      0.09303      0.07819      0.00000	  0.01709      0.01461      0.00000
         9      0.12522      0.10844      0.00000	  0.02280      0.01996      0.00000
        10      0.16125      0.14272      0.00000	  0.02923      0.02602      0.00000
        11      0.20065      0.18054      0.00000	  0.03638      0.03281      0.00000
        12      0.24302      0.22144      0.00000	  0.04424      0.04031      0.00000
        13      0.28792      0.26506      0.00000	  0.05283      0.04852      0.00000
        14      0.33370      0.31108      0.00000	  0.06177      0.05745      0.00000
        15      0.37821      0.35901      0.00000	  0.07068      0.06706      0.00000
        16      0.42051      0.40381      0.00000	  0.07958      0.07630      0.00000
        17      0.46024      0.44512      0.00000	  0.08869      0.08543      0.00000
        18      0.49730      0.48340      0.00000	  0.09814      0.09484      0.00000
        19      0.53164      0.51875      0.00000	  0.10793      0.10456      0.00000
        20      0.56334      0.55129      0.00000	  0.11802      0.11458      0.00000
        21      0.59247      0.58117      0.00000	  0.12833      0.12485      0.00000
        22      0.61916      0.60852      0.00000	  0.13883      0.13531      0.00000
        23      0.64353      0.63348      0.00000	  0.14943      0.14588      0.00000
        24      0.66582      0.65628      0.00000	  0.16009      0.15652      0.00000
        25      0.68614      0.67707      0.00000	  0.17077      0.16718      0.00000
        26      0.70464      0.69600      0.00000	  0.18141      0.17782      0.00000
        27      0.72152      0.71325      0.00000	  0.19199      0.18840      0.00000
        28      0.73687      0.72896      0.00000	  0.20249      0.19890      0.00000
        29      0.75087      0.74328      0.00000	  0.21286      0.20929      0.00000
        30      0.76361      0.75630      0.00000	  0.22310      0.21954      0.00000
        31      0.77519      0.76815      0.00000	  0.23319      0.22965      0.00000
        32      0.78585      0.77906      0.00000	  0.24313      0.23961      0.00000
        33      0.79552      0.78896      0.00000	  0.25287      0.24938      0.00000
        34      0.80431      0.79798      0.00000	  0.26245      0.25898      0.00000
        35      0.81245      0.80629      0.00000	  0.27185      0.26841      0.00000
        36      0.81985      0.81388      0.00000	  0.28107      0.27765      0.00000
        37      0.82670      0.82091      0.00000	  0.29012      0.28673      0.00000
        38      0.83289      0.82726      0.00000	  0.29896      0.29559      0.00000
        39      0.83861      0.83312      0.00000	  0.30761      0.30428      0.00000
        40      0.84391      0.83857      0.00000	  0.31610      0.31280      0.00000
        41      0.84873      0.84353      0.00000	  0.32440      0.32113      0.00000
        42      0.85320      0.84813      0.00001	  0.33253      0.32928      0.00000
        43      0.85731      0.85235      0.00039	  0.34046      0.33725      0.00014
        44      0.86109      0.85625      0.00136	  0.34823      0.34506      0.00048
        45      0.86456      0.85982      0.00301	  0.35580      0.35267      0.00108
        46      0.86787      0.86323      0.00549	  0.36325      0.36014      0.00196
        47      0.87091      0.86637      0.00887	  0.37052      0.36744      0.00313
        48      0.87369      0.86924      0.01315	  0.37763      0.37459      0.00459
        49      0.87630      0.87195      0.01828	  0.38460      0.38159      0.00633
        50      0.87868      0.87441      0.02429	  0.39138      0.38840      0.00836
        51      0.88097      0.87678      0.03112	  0.39804      0.39509      0.01063
        52      0.88302      0.87891      0.03877	  0.40454      0.40161      0.01317
        53      0.88496      0.88092      0.04722	  0.41090      0.40799      0.01594
        54      0.88678      0.88280      0.05644	  0.41713      0.41426      0.01896
        55      0.88848      0.88458      0.06639	  0.42322      0.42038      0.02220
        56      0.89010      0.88626      0.07705	  0.42919      0.42639      0.02566
        57      0.89160      0.88783      0.08838	  0.43503      0.43224      0.02932
        58      0.89303      0.88932      0.10037	  0.44075      0.43800      0.03319
        59      0.89434      0.89070      0.11293	  0.44635      0.44362      0.03725
        60      0.89557      0.89198      0.12612	  0.45183      0.44912      0.04151
        61      0.89677      0.89324      0.13982	  0.45721      0.45454      0.04594
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      0.89677      0.89324      0.13982	  0.45721      0.45454      0.04594
        63      0.90157      0.89829      0.21630	  0.48242      0.47988      0.07075
        64      0.90531      0.90224      0.28408	  0.50525      0.50282      0.09712
        65      0.90813      0.90526      0.32645	  0.52597      0.52364      0.12172
        66      0.91045      0.90775      0.35941	  0.54485      0.54262      0.14560
        67      0.91222      0.90966      0.38687	  0.56207      0.55995      0.16876
        68      0.91365      0.91122      0.41066	  0.57787      0.57583      0.19114
        69      0.91490      0.91259      0.43171	  0.59240      0.59043      0.21267
        70      0.91587      0.91367      0.45066	  0.60578      0.60389      0.23331
        71      0.91681      0.91471      0.46794	  0.61822      0.61640      0.25309
        72      0.91751      0.91549      0.48377	  0.62974      0.62800      0.27202
        73      0.91810      0.91617      0.49836	  0.64042      0.63872      0.29005
        74      0.91873      0.91687      0.51198	  0.65040      0.64877      0.30729
        75      0.91932      0.91753      0.52471	  0.65978      0.65819      0.32375
        76      0.91970      0.91798      0.53658	  0.66846      0.66694      0.33944
        77      0.92005      0.91839      0.54770	  0.67666      0.67517      0.35443
        78      0.92050      0.91889      0.55825	  0.68434      0.68290      0.36874
        79      0.92079      0.91924      0.56816	  0.69159      0.69019      0.38241
        80      0.92115      0.91965      0.57759	  0.69844      0.69708      0.39550
        81      0.92132      0.91987      0.58638	  0.70487      0.70355      0.40797
        82      0.92164      0.92023      0.59489	  0.71098      0.70969      0.41995
        83      0.92192      0.92056      0.60292	  0.71681      0.71555      0.43141
        84      0.92200      0.92067      0.61046	  0.72220      0.72098      0.44232
        85      0.92227      0.92097      0.61778	  0.72750      0.72631      0.45289
        86      0.92249      0.92123      0.62477	  0.73243      0.73126      0.46299
        87      0.92258      0.92136      0.63133	  0.73713      0.73599      0.47264
        88      0.92283      0.92163      0.63777	  0.74166      0.74055      0.48199
        89      0.92296      0.92180      0.64382	  0.74591      0.74482      0.49090
        90      0.92323      0.92209      0.64972	  0.75013      0.74907      0.49957
        91      0.92325      0.92213      0.65524	  0.75392      0.75289      0.50778
        92      0.92337      0.92228      0.66061	  0.75773      0.75672      0.51581
        93      0.92365      0.92258      0.66590	  0.76136      0.76036      0.52351
        94      0.92376      0.92273      0.67082	  0.76483      0.76387      0.53092
        95      0.92381      0.92279      0.67558	  0.76815      0.76720      0.53811
        96      0.92386      0.92287      0.68014	  0.77131      0.77037      0.54500
        97      0.92388      0.92290      0.68451	  0.77432      0.77340      0.55163
        98      0.92403      0.92308      0.68884	  0.77726      0.77636      0.55808
        99      0.92417      0.92323      0.69303	  0.78007      0.77919      0.56431
C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         2      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         3      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         4      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         5      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         6      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         7      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         8      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         9      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        10      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        11      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        12      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        13      0.00005      0.00000      0.00000	  0.00001      0.00000      0.00000
        14      0.00163      0.00000      0.00000	  0.00041      0.00000      0.00000
        15      0.00676      0.00012      0.00000	  0.00161      0.00002      0.00000
        16      0.01614      0.00566      0.00000	  0.00355      0.00120      0.00000
        17      0.02991      0.01667      0.00000	  0.00597      0.00320      0.00000
        18      0.04795      0.03243      0.00000	  0.00870      0.00561      0.00000
        19      0.07009      0.05264      0.00000	  0.01171      0.00831      0.00000
        20      0.09614      0.07692      0.00000	  0.01503      0.01132      0.00000
        21      0.12581      0.10504      0.00000	  0.01869      0.01468      0.00000
        22      0.15885      0.13667      0.00000	  0.02273      0.01840      0.00000
        23      0.19504      0.17152      0.00000	  0.02721      0.02255      0.00000
        24      0.23403      0.20933      0.00000	  0.03212      0.02716      0.00000
        25      0.27562      0.24977      0.00000	  0.03752      0.03223      0.00000
        26      0.31955      0.29264      0.00000	  0.04342      0.03781      0.00000
        27      0.36558      0.33768      0.00000	  0.04983      0.04390      0.00000
        28      0.41354      0.38472      0.00000	  0.05676      0.05051      0.00000
        29      0.46322      0.43354      0.00000	  0.06423      0.05766      0.00000
        30      0.51448      0.48399      0.00000	  0.07222      0.06535      0.00000
        31      0.56717      0.53592      0.00000	  0.08075      0.07356      0.00000
        32      0.62101      0.58906      0.00000	  0.08978      0.08229      0.00000
        33      0.67604      0.64342      0.00000	  0.09936      0.09157      0.00000
        34      0.73214      0.69885      0.00000	  0.10944      0.10135      0.00000
        35      0.78907      0.75509      0.00000	  0.12001      0.11162      0.00000
        36      0.84686      0.81234      0.00000	  0.13107      0.12239      0.00000
        37      0.90531      0.87022      0.00000	  0.14259      0.13363      0.00000
        38      0.96454      0.92885      0.00000	  0.15459      0.14535      0.00000
        39      1.02434      0.98815      0.00000	  0.16705      0.15753      0.00000
        40      1.08463      1.04785      0.00000	  0.17994      0.17014      0.00000
        41      1.14546      1.10828      0.00000	  0.19325      0.18319      0.00000
        42      1.20673      1.16901      0.00000	  0.20698      0.19666      0.00000
        43      1.26842      1.23028      0.00000	  0.22113      0.21054      0.00000
        44      1.33046      1.29177      0.00000	  0.23564      0.22479      0.00000
        45      1.39287      1.35385      0.00000	  0.25057      0.23947      0.00000
        46      1.45548      1.41595      0.00000	  0.26583      0.25449      0.00000
        47      1.51835      1.47854      0.00000	  0.28146      0.26988      0.00000
        48      1.58155      1.54129      0.00000	  0.29742      0.28561      0.00000
        49      1.64492      1.60427      0.00000	  0.31372      0.30166      0.00000
        50      1.70856      1.66758      0.00000	  0.33037      0.31809      0.00000
        51      1.77232      1.73090      0.00000	  0.34730      0.33480      0.00000
        52      1.83630      1.79459      0.00000	  0.36457      0.35184      0.00000
        53      1.90044      1.85838      0.00000	  0.38213      0.36918      0.00000
        54      1.96470      1.92224      0.00000	  0.39997      0.38680      0.00000
        55      2.02909      1.98631      0.00000	  0.41808      0.40469      0.00000
        56      2.09356      2.05052      0.00000	  0.43646      0.42287      0.00000
        57      2.15814      2.11471      0.00000	  0.45510      0.44129      0.00000
        58      2.22283      2.17900      0.00000	  0.47399      0.45998      0.00000
        59      2.28761      2.24363      0.00000	  0.49312      0.47893      0.00000
        60      2.35249      2.30823      0.00000	  0.51252      0.49812      0.00000
        61      2.41739      2.37277      0.00000	  0.53211      0.51751      0.00000
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      2.41739      2.37277      0.00000	  0.53211      0.51751      0.00000
        63      2.74323      2.69717      0.00000	  0.63341      0.61789      0.00000
        64      3.07012      3.02276      0.02234	  0.73959      0.72318      0.00280
        65      3.39787      3.34942      0.08309	  0.84999      0.83277      0.01167
        66      3.72606      3.67668      0.16317	  0.96408      0.94611      0.02519
        67      4.05476      4.00444      0.25740	  1.08147      1.06280      0.04311
        68      4.38368      4.33221      0.36310	  1.20175      1.18236      0.06531
        69      4.71277      4.66067      0.47863	  1.32460      1.30461      0.09166
        70      5.04200      4.98880      0.60281	  1.44977      1.42911      0.12202
        71      5.37122      5.31761      0.73482	  1.57692      1.55574      0.15622
        72      5.70064      5.64601      0.87406	  1.70596      1.68418      0.19409
        73      6.03006      5.97504      1.01980	  1.83675      1.81448      0.23551
