C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00032      0.00000      0.00000	  0.00022      0.00000      0.00000
         2      0.00293      0.00007      0.00000	  0.00163      0.00003      0.00000
         3      0.00984      0.00243      0.00000	  0.00487      0.00084      0.00000
         4      0.02203      0.00936      0.00000	  0.01010      0.00318      0.00000
         5      0.03962      0.02183      0.00000	  0.01738      0.00748      0.00000
         6      0.06229      0.03966      0.00000	  0.02672      0.01384      0.00000
         7      0.08957      0.06245      0.00000	  0.03810      0.02233      0.00000
         8      0.12083      0.08968      0.00000	  0.05144      0.03294      0.00000
         9      0.15548      0.12074      0.00000	  0.06666      0.04562      0.00000
        10      0.19294      0.15500      0.00000	  0.08369      0.06027      0.00000
        11      0.23273      0.19189      0.00000	  0.10243      0.07678      0.00000
        12      0.27444      0.23095      0.00000	  0.12280      0.09504      0.00000
        13      0.31737      0.27182      0.00000	  0.14442      0.11497      0.00000
        14      0.35766      0.31425      0.00000	  0.16476      0.13647      0.00000
        15      0.39403      0.35776      0.00000	  0.18392      0.15934      0.00000
        16      0.42653      0.39496      0.00000	  0.20245      0.17994      0.00000
        17      0.45523      0.42650      0.00000	  0.22062      0.19914      0.00000
        18      0.48040      0.45377      0.00000	  0.23864      0.21783      0.00000
        19      0.50237      0.47740      0.00000	  0.25664      0.23632      0.00000
        20      0.52147      0.49785      0.00000	  0.27467      0.25473      0.00000
        21      0.53813      0.51565      0.00000	  0.29275      0.27315      0.00000
        22      0.55269      0.53118      0.00000	  0.31089      0.29158      0.00000
        23      0.56538      0.54472      0.00000	  0.32902      0.31000      0.00000
        24      0.57655      0.55664      0.00000	  0.34709      0.32835      0.00000
        25      0.58637      0.56715      0.00000	  0.36505      0.34660      0.00000
        26      0.59500      0.57638      0.00000	  0.38284      0.36466      0.00000
        27      0.60268      0.58463      0.00000	  0.40044      0.38255      0.00000
        28      0.60953      0.59199      0.00000	  0.41784      0.40020      0.00000
        29      0.61561      0.59853      0.00000	  0.43495      0.41756      0.00000
        30      0.62105      0.60441      0.00000	  0.45178      0.43465      0.00000
        31      0.62598      0.60975      0.00000	  0.46835      0.45147      0.00000
        32      0.63050      0.61466      0.00000	  0.48464      0.46801      0.00000
