C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00036      0.00000      0.00000	  0.00022      0.00000      0.00000
         2      0.00338      0.00009      0.00000	  0.00156      0.00003      0.00000
         3      0.01163      0.00304      0.00000	  0.00456      0.00075      0.00000
         4      0.02666      0.01188      0.00000	  0.00933      0.00281      0.00000
         5      0.04895      0.02809      0.00000	  0.01589      0.00658      0.00000
         6      0.07838      0.05175      0.00000	  0.02423      0.01213      0.00000
         7      0.11449      0.08249      0.00000	  0.03429      0.01948      0.00000
         8      0.15654      0.11972      0.00000	  0.04598      0.02864      0.00000
         9      0.20378      0.16267      0.00000	  0.05921      0.03950      0.00000
        10      0.25541      0.21050      0.00000	  0.07391      0.05199      0.00000
        11      0.31074      0.26240      0.00000	  0.08997      0.06598      0.00000
        12      0.36919      0.31771      0.00000	  0.10733      0.08138      0.00000
        13      0.42983      0.37593      0.00000	  0.12560      0.09811      0.00000
        14      0.48823      0.43661      0.00000	  0.14231      0.11608      0.00000
        15      0.54273      0.49908      0.00000	  0.15778      0.13510      0.00000
        16      0.59300      0.55458      0.00000	  0.17261      0.15184      0.00000
        17      0.63883      0.60371      0.00000	  0.18706      0.16727      0.00000
        18      0.68026      0.64765      0.00000	  0.20132      0.18218      0.00000
        19      0.71747      0.68690      0.00000	  0.21547      0.19682      0.00000
        20      0.75075      0.72188      0.00000	  0.22958      0.21131      0.00000
        21      0.78046      0.75304      0.00000	  0.24363      0.22570      0.00000
        22      0.80697      0.78080      0.00000	  0.25762      0.24000      0.00000
        23      0.83059      0.80553      0.00000	  0.27154      0.25421      0.00000
        24      0.85170      0.82764      0.00000	  0.28534      0.26829      0.00000
        25      0.87059      0.84741      0.00000	  0.29898      0.28222      0.00000
        26      0.88749      0.86511      0.00000	  0.31244      0.29595      0.00000
        27      0.90267      0.88102      0.00000	  0.32571      0.30949      0.00000
        28      0.91630      0.89533      0.00000	  0.33876      0.32280      0.00000
        29      0.92859      0.90821      0.00000	  0.35157      0.33584      0.00000
        30      0.93965      0.91985      0.00000	  0.36413      0.34864      0.00000
        31      0.94966      0.93038      0.00000	  0.37644      0.36119      0.00000
        32      0.95884      0.94007      0.00000	  0.38851      0.37350      0.00000
        33      0.96710      0.94880      0.00000	  0.40026      0.38549      0.00000
        34      0.97459      0.95671      0.00000	  0.41177      0.39720      0.00000
        35      0.98153      0.96405      0.00000	  0.42301      0.40865      0.00000
        36      0.98785      0.97076      0.00000	  0.43400      0.41985      0.00000
        37      0.99372      0.97701      0.00000	  0.44472      0.43079      0.00000
        38      0.99901      0.98266      0.00000	  0.45515      0.44144      0.00000
        39      1.00392      0.98792      0.00000	  0.46534      0.45183      0.00000
        40      1.00852      0.99286      0.00000	  0.47528      0.46199      0.00000
        41      1.01272      0.99740      0.00000	  0.48499      0.47191      0.00000
        42      1.01663      1.00163      0.00000	  0.49443      0.48157      0.00000
        43      1.02025      1.00554      0.00013	  0.50363      0.49096      0.00002
        44      1.02361      1.00916      0.00047	  0.51262      0.50011      0.00008
        45      1.02671      1.01251      0.00113	  0.52134      0.50900      0.00019
        46      1.02972      1.01576      0.00218	  0.52988      0.51771      0.00039
        47      1.03249      1.01877      0.00375	  0.53820      0.52619      0.00069
        48      1.03505      1.02155      0.00583	  0.54631      0.53446      0.00111
        49      1.03754      1.02425      0.00851	  0.55427      0.54256      0.00165
        50      1.03977      1.02669      0.01181	  0.56196      0.55039      0.00235
        51      1.04195      1.02907      0.01573	  0.56948      0.55805      0.00321
        52      1.04394      1.03125      0.02033	  0.57681      0.56551      0.00424
        53      1.04583      1.03333      0.02561	  0.58395      0.57279      0.00545
        54      1.04764      1.03531      0.03159	  0.59093      0.57991      0.00684
        55      1.04937      1.03721      0.03825	  0.59776      0.58686      0.00843
        56      1.05103      1.03903      0.04561	  0.60443      0.59365      0.01024
        57      1.05259      1.04075      0.05365	  0.61092      0.60027      0.01225
        58      1.05408      1.04241      0.06238	  0.61728      0.60674      0.01448
        59      1.05549      1.04397      0.07176	  0.62349      0.61306      0.01691
        60      1.05682      1.04543      0.08181	  0.62953      0.61923      0.01958
        61      1.05815      1.04692      0.09249	  0.63549      0.62528      0.02246
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      1.05815      1.04692      0.09249	  0.63549      0.62528      0.02246
        63      1.06364      1.05313      0.15529	  0.66312      0.65348      0.04026
        64      1.06823      1.05844      0.21556	  0.68790      0.67887      0.06285
        65      1.07197      1.06279      0.25701	  0.71018      0.70166      0.08723
        66      1.07523      1.06656      0.29136	  0.73035      0.72228      0.11221
        67      1.07794      1.06974      0.32131	  0.74863      0.74096      0.13713
        68      1.08023      1.07246      0.34813	  0.76528      0.75796      0.16164
        69      1.08231      1.07491      0.37250	  0.78049      0.77351      0.18548
        70      1.08408      1.07702      0.39491	  0.79444      0.78777      0.20857
        71      1.08579      1.07904      0.41567	  0.80737      0.80098      0.23083
        72      1.08718      1.08072      0.43495	  0.81929      0.81314      0.25222
        73      1.08843      1.08223      0.45296	  0.83027      0.82436      0.27272
        74      1.08970      1.08373      0.46992	  0.84053      0.83484      0.29239
        75      1.09089      1.08515      0.48589	  0.85015      0.84466      0.31124
        76      1.09180      1.08628      0.50094	  0.85902      0.85372      0.32929
        77      1.09265      1.08732      0.51516	  0.86733      0.86221      0.34658
        78      1.09356      1.08841      0.52870	  0.87513      0.87018      0.36314
        79      1.09433      1.08935      0.54151	  0.88249      0.87769      0.37901
        80      1.09510      1.09027      0.55376	  0.88942      0.88475      0.39425
        81      1.09569      1.09100      0.56529	  0.89591      0.89139      0.40881
        82      1.09634      1.09181      0.57644	  0.90203      0.89765      0.42284
        83      1.09701      1.09261      0.58705	  0.90790      0.90365      0.43629
        84      1.09743      1.09315      0.59710	  0.91334      0.90919      0.44917
        85      1.09802      1.09385      0.60684	  0.91865      0.91460      0.46163
        86      1.09853      1.09447      0.61618	  0.92356      0.91963      0.47358
        87      1.09891      1.09495      0.62502	  0.92827      0.92443      0.48505
        88      1.09941      1.09555      0.63367	  0.93276      0.92902      0.49616
        89      1.09983      1.09606      0.64188	  0.93703      0.93337      0.50679
        90      1.10035      1.09668      0.64989	  0.94126      0.93768      0.51716
        91      1.10059      1.09701      0.65744	  0.94503      0.94153      0.52699
        92      1.10088      1.09738      0.66480	  0.94876      0.94534      0.53663
        93      1.10141      1.09798      0.67204	  0.95238      0.94904      0.54592
        94      1.10177      1.09844      0.67884	  0.95589      0.95263      0.55485
        95      1.10197      1.09869      0.68543	  0.95913      0.95592      0.56354
        96      1.10218      1.09898      0.69177	  0.96223      0.95911      0.57189
        97      1.10238      1.09923      0.69788	  0.96521      0.96214      0.57997
        98      1.10272      1.09964      0.70392	  0.96813      0.96513      0.58782
        99      1.10294      1.09993      0.70975	  0.97084      0.96788      0.59542
C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         2      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         3      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         4      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         5      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         6      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         7      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         8      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         9      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        10      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        11      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        12      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        13      0.00045      0.00000      0.00000	  0.00035      0.00000      0.00000
        14      0.00575      0.00000      0.00000	  0.00361      0.00000      0.00000
        15      0.01729      0.00021      0.00000	  0.00934      0.00009      0.00000
        16      0.03506      0.01001      0.00000	  0.01681      0.00383      0.00000
        17      0.05901      0.02827      0.00000	  0.02561      0.01006      0.00000
        18      0.08883      0.05343      0.00000	  0.03549      0.01779      0.00000
        19      0.12412      0.08482      0.00000	  0.04623      0.02670      0.00000
        20      0.16442      0.12164      0.00000	  0.05777      0.03655      0.00000
        21      0.20916      0.16334      0.00000	  0.07003      0.04724      0.00000
        22      0.25783      0.20929      0.00000	  0.08295      0.05869      0.00000
        23      0.31004      0.25894      0.00000	  0.09652      0.07086      0.00000
        24      0.36523      0.31188      0.00000	  0.11074      0.08376      0.00000
        25      0.42309      0.36759      0.00000	  0.12562      0.09734      0.00000
        26      0.48323      0.42578      0.00000	  0.14113      0.11163      0.00000
        27      0.54539      0.48606      0.00000	  0.15726      0.12658      0.00000
        28      0.60932      0.54827      0.00000	  0.17402      0.14219      0.00000
        29      0.67475      0.61211      0.00000	  0.19140      0.15848      0.00000
        30      0.74155      0.67741      0.00000	  0.20938      0.17542      0.00000
        31      0.80951      0.74394      0.00000	  0.22792      0.19294      0.00000
        32      0.87837      0.81147      0.00000	  0.24702      0.21104      0.00000
        33      0.94819      0.88003      0.00000	  0.26672      0.22980      0.00000
        34      1.01885      0.94945      0.00000	  0.28696      0.24912      0.00000
        35      1.09004      1.01943      0.00000	  0.30769      0.26897      0.00000
        36      1.16187      1.09022      0.00000	  0.32893      0.28937      0.00000
        37      1.23412      1.16142      0.00000	  0.35064      0.31024      0.00000
        38      1.30695      1.23316      0.00000	  0.37285      0.33164      0.00000
        39      1.38013      1.30540      0.00000	  0.39553      0.35352      0.00000
        40      1.45358      1.37778      0.00000	  0.41862      0.37581      0.00000
        41      1.52738      1.45078      0.00000	  0.44211      0.39858      0.00000
        42      1.60145      1.52388      0.00000	  0.46604      0.42175      0.00000
        43      1.67576      1.59741      0.00000	  0.49037      0.44540      0.00000
        44      1.75026      1.67095      0.00000	  0.51506      0.46937      0.00000
        45      1.82497      1.74504      0.00000	  0.54014      0.49385      0.00000
        46      1.89974      1.81894      0.00000	  0.56554      0.51860      0.00000
        47      1.97461      1.89326      0.00000	  0.59127      0.54376      0.00000
        48      2.04970      1.96758      0.00000	  0.61734      0.56921      0.00000
        49      2.12478      2.04197      0.00000	  0.64367      0.59496      0.00000
        50      2.20005      2.11665      0.00000	  0.67037      0.62111      0.00000
        51      2.27533      2.19118      0.00000	  0.69734      0.64750      0.00000
        52      2.35069      2.26604      0.00000	  0.72458      0.67424      0.00000
        53      2.42613      2.34086      0.00000	  0.75212      0.70125      0.00000
        54      2.50158      2.41564      0.00000	  0.77988      0.72847      0.00000
        55      2.57704      2.49056      0.00000	  0.80788      0.75598      0.00000
        56      2.65251      2.56555      0.00000	  0.83613      0.78375      0.00000
        57      2.72799      2.64038      0.00000	  0.86460      0.81170      0.00000
        58      2.80348      2.71521      0.00000	  0.89329      0.83988      0.00000
        59      2.87899      2.79042      0.00000	  0.92217      0.86837      0.00000
        60      2.95453      2.86544      0.00000	  0.95129      0.89702      0.00000
        61      3.02997      2.94030      0.00000	  0.98055      0.92582      0.00000
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      3.02997      2.94030      0.00000	  0.98055      0.92582      0.00000
        63      3.40761      3.31549      0.00000	  1.12979      1.07292      0.00000
        64      3.78465      3.69036      0.01878	  1.28293      1.22412      0.00097
        65      4.16113      4.06507      0.07222	  1.43939      1.37889      0.00602
