111 1.11  0.195	0.205	0.215	0.225	0.235	0.245	0.255	0.265	0.275
   12     0.025	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
   12     0.075	0.00621	0.00516	0.00425	0.00347	0.00279	0.00221	0.00172	0.00130	0.00096
   12     0.125	0.04346	0.03836	0.03375	0.02959	0.02584	0.02246	0.01944	0.01673	0.01431
   12     0.175	0.13003	0.11877	0.10807	0.09795	0.08849	0.07970	0.07154	0.06403	0.05711
   12     0.225	0.24926	0.23599	0.22202	0.20751	0.19288	0.17846	0.16447	0.15104	0.13825
   12     0.275	0.36916	0.35632	0.34281	0.32865	0.31391	0.29859	0.28266	0.26619	0.24945
   12     0.325	0.48118	0.46875	0.45566	0.44203	0.42783	0.41299	0.39769	0.38185	0.36545
   12     0.375	0.58189	0.56979	0.55721	0.54400	0.53030	0.51603	0.50126	0.48602	0.47025
   12     0.425	0.67000	0.65833	0.64615	0.63336	0.62018	0.60639	0.59220	0.57748	0.56233
   12     0.475	0.74573	0.73449	0.72264	0.71037	0.69760	0.68427	0.67061	0.65645	0.64179
   12     0.525	0.80999	0.79902	0.78773	0.77577	0.76340	0.75061	0.73741	0.72368	0.70963
   12     0.575	0.86401	0.85334	0.84237	0.83091	0.81893	0.80651	0.79373	0.78059	0.76701
   12     0.625	0.90905	0.89871	0.88808	0.87697	0.86541	0.85343	0.84102	0.82819	0.81516
   12     0.675	0.94638	0.93645	0.92610	0.91529	0.90410	0.89251	0.88049	0.86810	0.85539
   12     0.725	0.97724	0.96758	0.95754	0.94705	0.93619	0.92487	0.91326	0.90129	0.88892
   12     0.775	1.00275	0.99328	0.98344	0.97323	0.96266	0.95168	0.94039	0.92870	0.91676
   12     0.825	1.02343	1.01420	1.00465	0.99464	0.98431	0.97366	0.96268	0.95136	0.93974
   12     0.875	1.04029	1.03129	1.02198	1.01225	1.00221	0.99181	0.98105	0.97002	0.95869
   12     0.925	1.05393	1.04514	1.03605	1.02659	1.01682	1.00663	0.99616	0.98542	0.97435
   12     0.975	1.06484	1.05625	1.04727	1.03798	1.02840	1.01851	1.00832	0.99786	0.98709
   12     1.025	1.07362	1.06519	1.05645	1.04741	1.03800	1.02823	1.01820	1.00787	0.99727
   12     1.075	1.08050	1.07222	1.06357	1.05458	1.04543	1.03599	1.02620	1.01613	1.00580
   12     1.125	1.08568	1.07765	1.06923	1.06048	1.05147	1.04210	1.03240	1.02242	1.01241
   12     1.175	1.08985	1.08184	1.07353	1.06486	1.05584	1.04674	1.03736	1.02770	1.01774
   12     1.225	1.09274	1.08479	1.07657	1.06820	1.05949	1.05044	1.04113	1.03148	1.02175
   12     1.275	1.09464	1.08697	1.07897	1.07060	1.06191	1.05296	1.04390	1.03459	1.02501
   12     1.325	1.09611	1.08844	1.08041	1.07205	1.06369	1.05499	1.04603	1.03670	1.02711
   12     1.375	1.09667	1.08906	1.08128	1.07325	1.06491	1.05620	1.04712	1.03813	1.02888
   12     1.425	1.09676	1.08944	1.08175	1.07366	1.06527	1.05674	1.04812	1.03917	1.02988
   12     1.475	1.09671	1.08940	1.08161	1.07354	1.06544	1.05714	1.04845	1.03940	1.03044
   12     1.525	1.09611	1.08867	1.08094	1.07329	1.06529	1.05693	1.04817	1.03959	1.03066
   12     1.575	1.09513	1.08775	1.08042	1.07274	1.06468	1.05623	1.04794	1.03930	1.03030
   12     1.625	1.09392	1.08691	1.07959	1.07180	1.06369	1.05571	1.04738	1.03867	1.02996
   12     1.675	1.09267	1.08574	1.07821	1.07041	1.06278	1.05476	1.04633	1.03788	1.02928
   12     1.725	1.09138	1.08423	1.07675	1.06937	1.06167	1.05355	1.04531	1.03704	1.02835
   12     1.775	1.08975	1.08269	1.07540	1.06808	1.06028	1.05224	1.04424	1.03586	1.02715
   12     1.825	1.08803	1.08092	1.07390	1.06642	1.05856	1.05099	1.04290	1.03440	1.02610
   12     1.875	1.08626	1.07948	1.07226	1.06458	1.05729	1.04963	1.04142	1.03320	1.02482
   12     1.925	1.08454	1.07801	1.07035	1.06289	1.05587	1.04816	1.03992	1.03166	1.02333
   12     1.975	1.08306	1.07616	1.06835	1.06127	1.05427	1.04627	1.03836	1.03015	1.02183
   12     2.025	1.08096	1.07406	1.06671	1.05974	1.05234	1.04467	1.03686	1.02866	1.02059
   12     2.075	1.07872	1.07187	1.06528	1.05819	1.05022	1.04306	1.03529	1.02720	1.01916
   12     2.125	1.07679	1.06984	1.06368	1.05638	1.04878	1.04115	1.03349	1.02577	1.01755
   12     2.175	1.07501	1.06836	1.06172	1.05430	1.04705	1.03964	1.03170	1.02412	1.01595
   12     2.225	1.07294	1.06695	1.05963	1.05237	1.04552	1.03784	1.03027	1.02241	1.01437
   12     2.275	1.07108	1.06494	1.05784	1.05070	1.04375	1.03623	1.02873	1.02064	1.01274
   12     2.325	1.06947	1.06291	1.05579	1.04934	1.04194	1.03439	1.02700	1.01903	1.01136
   12     2.375	1.06804	1.06100	1.05409	1.04767	1.04003	1.03287	1.02512	1.01763	1.00978
   12     2.425	1.06591	1.05931	1.05261	1.04569	1.03829	1.03123	1.02353	1.01606	1.00822
   12     2.475	1.06418	1.05703	1.05121	1.04380	1.03674	1.02958	1.02206	1.01448	1.00634
   12     2.525	1.06233	1.05559	1.04916	1.04198	1.03513	1.02800	1.02041	1.01296	1.00500
   12     2.575	1.06035	1.05419	1.04754	1.04030	1.03373	1.02602	1.01888	1.01116	1.00376
