                                                                                
      ELECTRON NEUTRINO      ITHETA =  1                                        
     .72632E+02     .21505E+03     .32611E+03     .45518E+03     .57589E+03     
     .64230E+03     .66067E+03     .59955E+03     .61435E+03     .60433E+03     
     .53934E+03     .50958E+03     .49121E+03     .45421E+03     .46574E+03     
     .45211E+03     .39746E+03     .43055E+03     .41619E+03     .36646E+03     
     .35636E+03     .32084E+03     .33989E+03     .30940E+03     .34911E+03     
     .28790E+03     .29146E+03     .30574E+03     .26852E+03     .29011E+03     
     .26055E+03     .22448E+03     .23937E+03     .24208E+03     .21746E+03     
     .21345E+03     .19971E+03     .22927E+03     .18013E+03     .18568E+03     
     .16583E+03     .18812E+03     .17719E+03     .16161E+03     .16575E+03     
     .17401E+03     .12660E+03     .14138E+03     .12720E+03     .13829E+03     
     .27183E+03     .23668E+03     .20278E+03     .22598E+03     .21561E+03     
     .19623E+03     .18162E+03     .18899E+03     .19702E+03     .18095E+03     
     .16281E+03     .15686E+03     .12805E+03     .15000E+03     .12766E+03     
     .12099E+03     .92908E+02     .13258E+03     .11182E+03     .11125E+03     
     .10781E+03     .77801E+02     .93577E+02     .90484E+02     .83507E+02     
     .13913E+03     .13771E+03     .13457E+03     .12295E+03     .12814E+03     
     .94515E+02     .95475E+02     .10107E+03     .89050E+02     .84722E+02     
     .79129E+02     .75596E+02     .63272E+02     .69698E+02     .82598E+02     
     .57977E+02     .66957E+02     .43160E+02     .55502E+02     .43336E+02     
     .38311E+02     .56312E+02     .55578E+02     .39786E+02     .25459E+02     
     .64535E+02     .90819E+02     .68620E+02     .56343E+02     .46525E+02     
     .46595E+02     .56802E+02     .28002E+02     .37045E+02     .40720E+02     
     .36835E+02     .24093E+02     .30073E+02     .24764E+02     .24933E+02     
     .19571E+02     .23000E+02     .21195E+02     .12000E+02     .21000E+02     
     .47150E+02     .37154E+02     .26168E+02     .14000E+02     .18345E+02     
     .19000E+02     .11000E+02     .10000E+02     .13000E+02     .60000E+01     
